investigation_id,target_name,target_column,target_profile,target_type,cohort_filter,feature_profile,recency_policy_id,include_missingness_flags,run_lr,run_rf,run_nn,screening_enabled,screening_scenario_id,screening_mode,notes
A_primary_carrier_all,promoter_carrier,promoter_carrier,,binary,all,icd_relevant_only,minimal,0,1,1,0,0,,,Primary endpoint
A_sens_carrier_excl_tier12,promoter_carrier,promoter_carrier,,binary,exclude_tier12_positive,icd_relevant_only,minimal,0,1,1,0,0,,,Sensitivity excluding Tier1/2 coding positives
B_dosage_all,promoter_dosage,promoter_dosage,,multiclass,all,icd_relevant_only,minimal,0,1,1,0,0,,,Dosage endpoint
B_dosage_excl_tier12,promoter_dosage,promoter_dosage,,multiclass,exclude_tier12_positive,icd_relevant_only,minimal,0,1,1,0,0,,,Dosage sensitivity excluding Tier1/2 coding positives
A_primary_carrier_all_research_v3_lrrf_specguard,promoter_carrier,promoter_carrier,,binary,all,icd_research_v3_core_last_count_no_rate,research_v3_last_core,1,1,1,0,0,,,Research v3 LR/RF branch with specificity-floor threshold policy and refined ICD core map
A_primary_carrier_all_research_v3_nn_sparse,promoter_carrier,promoter_carrier,,binary,all,icd_research_v3_nn_sparse_last_count_no_rate,research_v3_last_core,0,0,0,1,0,,,Research v3 NN sparse branch with missingness flags disabled for stability
A_homozygous_vs_noncarrier_research_v1_lrrf_specguard,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,all,icd_research_v3_core_last_count_no_rate,research_v3_last_core,1,1,1,0,0,,,Homozygous-vs-non-carrier LR/RF branch using target-profile mapping that drops promoter heterozygotes
A_homozygous_vs_noncarrier_research_v1_nn_sparse,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,all,icd_research_v3_nn_sparse_last_count_no_rate,research_v3_last_core,0,0,0,1,0,,,Homozygous-vs-non-carrier NN sparse branch using target-profile mapping that drops promoter heterozygotes
EG_primary_carrier_all_common_base_v1_lrrf_specguard,promoter_carrier,promoter_carrier,,binary,all,icd_endgame_common_base_v1,none,0,1,1,0,0,,,Endgame Stage 6 common-base grouped comparator for the carrier target using the locked revised anchor schema and observability covariates
EG_homozygous_vs_noncarrier_common_base_v1_lrrf_specguard,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,all,icd_endgame_common_base_v1,none,0,1,1,0,0,,,Endgame Stage 6 common-base grouped comparator for the locked homozygous-versus-non-carrier target using the same primary schema and observability covariates
EG_primary_carrier_all_grouped_burden_v1_lrrf_specguard,promoter_carrier,promoter_carrier,,binary,all,icd_endgame_grouped_burden_v1,none,0,1,1,0,0,,,Endgame Stage 7 first representation sensitivity branch for the carrier target using the locked grouped burden modules inside the frozen family universe
EG_homozygous_vs_noncarrier_grouped_burden_v1_lrrf_specguard,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,all,icd_endgame_grouped_burden_v1,none,0,1,1,0,0,,,Endgame Stage 7 mirrored grouped burden sensitivity branch for the locked homozygous-versus-non-carrier target using the same burden modules and observability covariates
EG_primary_carrier_excl_tier12_common_base_v2_lrrf_specguard,promoter_carrier,promoter_carrier,,binary,exclude_tier12_positive,icd_endgame_common_base_v1,none,0,1,1,0,0,,,Patched promoter-focused common-base comparator excluding Tier 1/2 individuals from both carrier and non-carrier groups
EG_homozygous_vs_noncarrier_excl_tier12_common_base_v2_lrrf_specguard,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,exclude_tier12_positive,icd_endgame_common_base_v1,none,0,1,1,0,0,,,Patched promoter-focused common-base comparator excluding Tier 1/2 individuals from the homozygous-versus-non-carrier comparison
EG_primary_carrier_excl_tier12_grouped_burden_v1_lrrf_specguard,promoter_carrier,promoter_carrier,,binary,exclude_tier12_positive,icd_endgame_grouped_burden_v1,none,0,1,1,0,0,,,Patched grouped burden sensitivity branch for the carrier target excluding Tier 1/2 individuals from both carrier and non-carrier groups
EG_homozygous_vs_noncarrier_excl_tier12_grouped_burden_v1_lrrf_specguard,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,exclude_tier12_positive,icd_endgame_grouped_burden_v1,none,0,1,1,0,0,,,Patched grouped burden sensitivity branch for the homozygous-versus-non-carrier target excluding Tier 1/2 individuals from both groups
EG_homozygous_vs_noncarrier_excl_tier12_grouped_burden_compact_primary_v1_lrrf_specguard,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,exclude_tier12_positive,icd_endgame_grouped_burden_compact_primary_v1,none,0,1,1,0,0,,,Phase B compact-primary redesign row created to reduce redundancy and tighten predictor budget in the strongest current lane
EG_homozygous_vs_noncarrier_excl_tier12_grouped_burden_compact_primary_v1_nn_exploratory,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,exclude_tier12_positive,icd_endgame_grouped_burden_compact_primary_v1,none,0,0,0,1,0,,,"Compact-primary NN sibling row added so the final strongest-lane reporting frame contains LR, RF, and NN on the same compact-primary design"
EG_homozygous_vs_noncarrier_excl_tier12_grouped_burden_v1_nn_exploratory,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,exclude_tier12_positive,icd_endgame_grouped_burden_v1,none,0,0,0,1,0,,,Final exploratory NN-only companion row for the strongest locked grouped endgame lane using the same tier-excluded homozygous-versus-non-carrier burden representation
EG_heterozygous_vs_noncarrier_excl_tier12_common_base_v1_lrrf_specguard,promoter_heterozygous_vs_noncarrier,,promoter_heterozygous_vs_noncarrier,binary,exclude_tier12_positive,icd_endgame_common_base_v1,none,0,1,1,0,0,,,Patched promoter-focused common-base comparator excluding Tier 1/2 individuals from the heterozygous-versus-non-carrier comparison
EG_heterozygous_vs_homozygous_excl_tier12_common_base_v1_lrrf_specguard,promoter_heterozygous_vs_homozygous,,promoter_heterozygous_vs_homozygous,binary,exclude_tier12_positive,icd_endgame_common_base_v1,none,0,1,1,0,0,,,Patched promoter-focused common-base comparator excluding Tier 1/2 individuals from the heterozygous-versus-homozygous comparison
EG_primary_carrier_excl_tier12_common_base_v2_nn_exploratory,promoter_carrier,promoter_carrier,,binary,exclude_tier12_positive,icd_endgame_common_base_v1,none,0,0,0,1,0,,,Exploratory NN companion row for the patched carrier-versus-non-carrier common-base comparator excluding Tier 1/2 individuals
EG_homozygous_vs_noncarrier_excl_tier12_common_base_v2_nn_exploratory,promoter_homozygous_vs_noncarrier,,promoter_homozygous_vs_noncarrier,binary,exclude_tier12_positive,icd_endgame_common_base_v1,none,0,0,0,1,0,,,Exploratory NN companion row for the patched homozygous-versus-non-carrier common-base comparator excluding Tier 1/2 individuals
EG_heterozygous_vs_noncarrier_excl_tier12_common_base_v1_nn_exploratory,promoter_heterozygous_vs_noncarrier,,promoter_heterozygous_vs_noncarrier,binary,exclude_tier12_positive,icd_endgame_common_base_v1,none,0,0,0,1,0,,,Exploratory NN companion row for the patched heterozygous-versus-non-carrier common-base comparator excluding Tier 1/2 individuals
