profile_name,source_column,source_value,action,mapped_target_value,description
monogenic_vs_unexplained_exclude_modifier,burden_class,2,map,1,"Monogenic-high positive class."
monogenic_vs_unexplained_exclude_modifier,burden_class,0,map,0,"SCN5A-negative unexplained proxy negative class."
monogenic_vs_unexplained_exclude_modifier,burden_class,1,drop,,"Exclude modifier-only participants from this experiment."
monogenic_vs_unexplained_modifier_to_monogenic,burden_class,2,map,1,"Monogenic-high positive class."
monogenic_vs_unexplained_modifier_to_monogenic,burden_class,1,map,1,"Treat modifier-only as monogenic for sensitivity run."
monogenic_vs_unexplained_modifier_to_monogenic,burden_class,0,map,0,"SCN5A-negative unexplained proxy negative class."
monogenic_vs_unexplained_modifier_to_unexplained,burden_class,2,map,1,"Monogenic-high positive class."
monogenic_vs_unexplained_modifier_to_unexplained,burden_class,1,map,0,"Treat modifier-only as unexplained for sensitivity run."
monogenic_vs_unexplained_modifier_to_unexplained,burden_class,0,map,0,"SCN5A-negative unexplained proxy negative class."
promoter_homozygous_vs_noncarrier,promoter_dosage,2,map,1,"Promoter homozygous positive class."
promoter_homozygous_vs_noncarrier,promoter_dosage,0,map,0,"Promoter non-carrier negative class."
promoter_homozygous_vs_noncarrier,promoter_dosage,1,drop,,"Exclude promoter heterozygous participants from this experiment."
promoter_heterozygous_vs_noncarrier,promoter_dosage,1,map,1,"Promoter heterozygous positive class."
promoter_heterozygous_vs_noncarrier,promoter_dosage,0,map,0,"Promoter non-carrier negative class."
promoter_heterozygous_vs_noncarrier,promoter_dosage,2,drop,,"Exclude promoter homozygous participants from this experiment."
promoter_heterozygous_vs_homozygous,promoter_dosage,1,map,1,"Promoter heterozygous positive class."
promoter_heterozygous_vs_homozygous,promoter_dosage,2,map,0,"Promoter homozygous negative class."
promoter_heterozygous_vs_homozygous,promoter_dosage,0,drop,,"Exclude promoter non-carriers from this experiment."
