recency_policy_id,icd_group_name,include_days_since_last,include_days_since_first,binning_policy
minimal,ventricular_tachyarrhythmia,1,0,none
minimal,ventricular_fibrillation_flutter,1,0,none
minimal,cardiac_arrest_history,1,0,none
minimal,syncope_collapse,1,0,none
minimal,av_block_any,1,0,none
minimal,bundle_branch_fascicular_iv_block,1,0,none
minimal,sinus_node_dysfunction,1,0,none
minimal,bradycardia_unspecified,0,0,none
minimal,atrial_fibrillation_flutter,0,0,none
extended,ventricular_tachyarrhythmia,1,1,none
extended,ventricular_fibrillation_flutter,1,1,none
extended,cardiac_arrest_history,1,1,none
extended,syncope_collapse,1,1,none
extended,av_block_any,1,1,none
extended,bundle_branch_fascicular_iv_block,1,1,none
extended,sinus_node_dysfunction,1,1,none
extended,bradycardia_unspecified,1,0,none
extended,atrial_fibrillation_flutter,1,0,none
none,ventricular_tachyarrhythmia,0,0,none
none,ventricular_fibrillation_flutter,0,0,none
none,cardiac_arrest_history,0,0,none
none,syncope_collapse,0,0,none
none,av_block_any,0,0,none
none,bundle_branch_fascicular_iv_block,0,0,none
none,sinus_node_dysfunction,0,0,none
none,bradycardia_unspecified,0,0,none
none,atrial_fibrillation_flutter,0,0,none
research_v3_last_core,ventricular_tachyarrhythmia,1,0,none
research_v3_last_core,ventricular_fibrillation_flutter,1,0,none
research_v3_last_core,cardiac_arrest_history,1,0,none
research_v3_last_core,syncope_collapse,1,0,none
research_v3_last_core,av_block_any,1,0,none
research_v3_last_core,bundle_branch_fascicular_iv_block,1,0,none
research_v3_last_core,sinus_node_dysfunction,1,0,none
research_v3_last_core,bradycardia_unspecified,1,0,none
research_v3_last_core,atrial_fibrillation_flutter,1,0,none
